case_number,api_result,lang_confirmed,isReliable,confidence,lang,text,id
41,1,fr,,0.01,fr,Marché de Noël d'Hénin-Beaumont : un carton incontestable !,549033879c99ea76fdad1ec0
42,0,fr,,0.01,en,Marine Le Pen invitée de Europe 1,549033879c99ea76fdad1ec3
43,0,fr,,0.01,en,Le marché de Noël bat son plein en centre ville !,549033879c99ea76fdad1ec6
44,0,fr,,0.01,en,Bienvenue au camarade Sebastien Chenu !,549033879c99ea76fdad1ecc
45,1,en,,0.01,en,: with all 4,543db2f79c99ea7218d4801b
46,1,es,,0.01,es,Como becaria gran alegría!: Asturias de Cooperación Internacional,546119db9c99ea193d5e1850
47,1,es,,0.01,es,: y en la Exposición de dentro de la Semana de la Cultura en,548984939c99ea60368f855c
48,0,pt,,0.01,ca,"Minuto Europeu nº 17 -112 Número de Emergência Europeu
Só 25% dos europeus conhecem o 112. Ajude-nos a divulgá-lo !",54611a1b9c99ea193d5e1bd2
49,0,pt,,0.01,ca,O que é o Tratado de Lisboa ? É o tema do Minuto Europeu nº 21,54818f4e9c99ea2f7a4188ff
50,1,fr,,0.01,fr,: Avec et,5434fd7c9c99ea522117d80a
51,1,fr,,0.01,fr,: Ouverture de la av,5434fd7d9c99ea522117d819
52,0,es,,0.01,oc,: Paro juvenil: la cumbre de la última oportunidad Article a amb,54366b239c99ea0525b5f390
53,0,fr,,0.01,en,: se mobilise contre TAFTA,5439747d9c99ea6a99189c59
54,1,fr,,0.01,fr,: en cours en Europe,5445a3069c99ea0918b74c7c
55,1,fr,,0.01,fr,: 120 millions d'éens sur 507 millions menacés par la pauvreté &amp; l'exclusion sociale h…,54611e1c9c99ea193d5e2214
56,0,Uncodable,,0.01,da,: cc,54611e1d9c99ea193d5e222a
57,0,nl,,0.01,en,Koerden in nood. Bezetting Europees parlement,5434fd7e9c99ea522117d829
58,1,nl,,0.01,nl,"Start hoorzitting Canete, klimaat &amp; energie. Omstreden CV, meteen onder vuur en in defensief",5434fd7e9c99ea522117d82a
59,1,nl,,0.01,nl,Kandidaat EU commissaris Bratusek met overgrote meerderheid weggestemd!,5435b66e9c99ea2c34500d8d
60,0,nl,,0.01,en,"Straatsburg, Sefcovic in de examenstoel voor Eur commissaris energie-unie.",5445a3079c99ea0918b74c85
61,0,nl,,0.01,en,"Barcelona IPC, Catalonie stemt over toekomst. Met MEP's Jill Evans (Wales) en Izaskun Bilbao (Baskenland)",54611e1e9c99ea193d5e2236
62,1,nl,,0.01,nl,"Odessa, UA, observatie parlementsverkiezingen. Groot verlangen naar vrede, hoop op verandering",54611e1e9c99ea193d5e223c
63,0,nl,,0.01,af,"Observatie parlementsverkiezingen Odessa, Oekraine. Rustig, correct verloop. Matige opkomst",54611e1e9c99ea193d5e223d
64,0,de,,0.01,en,Mensenrechten absolute prioriteit in EUparlement,548988779c99ea60368f885b
65,0,nl,,0.01,hmn,Martelingen in CIA-kerkers -Belgium,548988789c99ea60368f8866
66,1,en,,0.01,en,: supports in,548988789c99ea60368f8869
67,0,en,,0.01,nl,ok:-),54478d639c99ea6d4c252660
68,0,Uncodable,NULL,NULL,NULL,:-),5448465f9c99ea3ee09966c2
69,0,Uncodable,0,0.01,en,Coca-Cola?;),54611e359c99ea193d5e2385
70,0,Uncodable,NULL,NULL,NULL,:-),54611e369c99ea193d5e239a
71,1,nl,0,0.01,nl,: W Krk Kracik poparl Lasote...,547468f39c99ea3595c37b97
72,0,pl,,0.01,ny,: Dziki kraj,547468f49c99ea3595c37b9f
73,1,pl,,0.01,pl,: Mała i duża...:),547468f59c99ea3595c37bc3
74,1,pl,,0.01,pl,Gratulacje! :-),547468f69c99ea3595c37bcd
75,1,pl,,0.01,pl,: Europosłowie PO pogrzebali trasę Via Carpathia,548193559c99ea2f7a41902a
76,0,Uncodable,NULL,NULL,NULL,;-))),548193569c99ea2f7a41902b
77,1,pl,0,0.01,pl,Sztyrlic?;-),548663619c99ea43f11abc53
78,0,Uncodable,NULL,NULL,NULL,;-))),549037ac9c99ea76fdad25af
79,0,pl,0,0.01,en,: RePublika Bananowa..,549037ac9c99ea76fdad25b6
80,1,pl,,0.01,pl,:-) Było.,549037ae9c99ea76fdad25d8
81,1,pl,,0.01,pl,Jestem 101! ;-),549037ae9c99ea76fdad25db
82,0,pl,,0.01,sk,Kto wie... :-),549037ae9c99ea76fdad25e0
83,0,Uncodable,NULL,NULL,NULL,;-),549037ae9c99ea76fdad25e3
84,0,Uncodable,NULL,NULL,NULL,,5434fdcd9c99ea522117db50
85,1,it,0,0.01,it,Prima puntata di ...,5434fdcd9c99ea522117db51
86,1,it,,0.01,it,: Video lancio manifestazione NO. sempre in prima linea …,5434fdcd9c99ea522117db58
87,0,Uncodable,,0.01,en,Pet Rescue Sagami,543954cb9c99ea58444a319c
88,0,Uncodable,NULL,NULL,NULL,,543954cb9c99ea58444a319d
89,0,Uncodable,NULL,NULL,NULL,,543c76999c99ea5d71e036e6
90,1,it,0,0.01,it,Proponiamo una moratoria sui test scientifici su animali visto che sono inefficaci!,543fa3fc9c99ea58deada276
91,0,it,,0.01,mt,. Segui il dibattito con gli esperti dal parlamento europeo,543fa3fd9c99ea58deada28d
92,0,it,,0.01,en,Ecco il video del seminario,5445a3319c99ea0918b74dee
93,0,it,,0.01,en,Ecco il video del seminario,5445a3319c99ea0918b74def
94,0,Uncodable,NULL,NULL,NULL,,54611e6d9c99ea193d5e26a2
95,0,Uncodable,NULL,NULL,NULL,,54611e6d9c99ea193d5e26a7
96,1,it,0,0.01,it,Dal 2002 l´Autoritá Europea per la Sicurezza Alimentare (EFSA) si occupa di fornire una consulenza scientifica in...,548988929c99ea60368f89b4
97,0,it,,0.01,en,": Fontana è in gamba, altroché i sinistrati terzomondi…",5434fe1a9c99ea522117def9
98,0,it,,0.01,co,L'Isis è al confine turco e s'avvicina all'Europa. La Fallaci tre lustri fa profetizzava l'Eurabia e le davano...,5434fe1b9c99ea522117df02
99,1,it,,0.01,it,: Ospiti :,5434fe1b9c99ea522117df04
100,0,Uncodable,NULL,NULL,NULL,,54366eca9c99ea0525b5f49b
101,0,it,0,0.01,ln,: A scanso di equivoci il Kosovo è Serbia,543fa4159c99ea58deada352
102,1,en,,0.01,en,: KOSOVO IS SERBIA!,543fa4159c99ea58deada353
103,1,it,,0.01,it,Il Fronte Identitario!!!,5445a3709c99ea0918b75013
104,0,Uncodable,NULL,NULL,NULL,,5445a3709c99ea0918b75015
105,0,Uncodable,NULL,NULL,NULL,,5445a3709c99ea0918b75018
106,1,it,0,0.01,it,E qui siamo al top!!!,5445a3719c99ea0918b7501b
107,0,Uncodable,NULL,NULL,NULL,,5445a3719c99ea0918b7501d
108,0,Uncodable,NULL,NULL,NULL,,5445a3719c99ea0918b7501e
109,0,it,0,0.01,en,Conferenza stampa con marine Le Pen e Matteo Salvini su immigrazione ed ebola!!!,5448467c9c99ea3ee0996796
110,0,Uncodable,NULL,NULL,NULL,,5448467d9c99ea3ee0996799
111,1,it,0,0.01,it,: ragazza investita e POI violentata da marocchino. Intervista commovente al padre,5448d6e49c99ea7dc19a6647
112,0,it,,0.01,en,": in , identificato l'attentatore di : si tratta del super-ricercato Michael Zehaf-Bibeau, convertito all'…",5448d6e49c99ea7dc19a664c
113,0,it,,0.01,nso,"Per la 7 la Lega è al 10,7%!",54611eba9c99ea193d5e2abb
114,1,it,,0.01,it,L'auto di Salvini presa a sassate dai centri sociali - Libero Quotidiano,54611eba9c99ea193d5e2abe
115,1,it,,0.01,it,Maledetta influenza!!!,54611eba9c99ea193d5e2ac1
116,0,it,,0.01,gl,": In italia parla ma non fa, in europa non parla ma fa (l'elemosina)",54611eba9c99ea193d5e2ac2
117,0,Uncodable,NULL,NULL,NULL,,54611eba9c99ea193d5e2ac6
118,0,it,0,0.01,en,: L'islam si allarga: Università a Lecce | La Nuova Bussola Quotidiana - di Valentina Colombo26-10-2014 L’ex...,54611ebb9c99ea193d5e2ac7
119,1,en,,0.01,en,No comment!!!,54611ebb9c99ea193d5e2ac9
120,0,it,,0.01,en,: LA PERCENTUALE DI ITALIANI CHE DISPREZZA L'€PER LA PRIMA VOLTA SUPERA QUELLA DI CHI LO CONSIDERA POS?,54611ebb9c99ea193d5e2aca
121,1,it,,0.01,it,": Russia, Nazionalismo e presunto fascismo in Salvini …",54611ebb9c99ea193d5e2acb
122,0,it,,0.01,en,Papa Francesco al Parlamento Europeo.,5474696c9c99ea3595c382fd
123,0,it,,0.01,war,": Regione Emilia-Romagna 23 novembre 2014 dalle 7,00 alle 23,00",5474696c9c99ea3595c38300
124,0,it,,0.01,rm,Dal comizio di Modena ora si passa a Cento.,5474696c9c99ea3595c38308
125,1,it,,0.01,it,Avanti tutta!,5474696c9c99ea3595c3830c
126,1,it,,0.01,it,: Quando Dio muore di cancro. Una lettera aperta a Umberto Veronesi (Prima Parte),5474696c9c99ea3595c38310
127,1,it,,0.01,it,: L'ossessione maniaco-compulsiva di Formigli per è imbarazzante... …,5474696d9c99ea3595c38318
128,0,it,,0.01,sk,Stiamo arrivando!,5474696d9c99ea3595c3831d
129,1,fr,,0.01,fr,: Ça donne ça,5474696d9c99ea3595c38324
130,0,Uncodable,,0.01,en,"Strache, Le Pen, Matteo Salvini....",548193c29c99ea2f7a419666
131,0,it,,0.01,en,: standing ovation per salvini a Lyon …,548193c29c99ea2f7a41966a
132,0,it,,0.01,en,"ANSA/ Salvini manda in estasi Marine Le Pen, Noi unica chance
Leader Lega, alleati con chi condivide nostri temi...",548193c29c99ea2f7a41966b
133,1,it,,0.01,it,A Lione...congresso Front...,548193c39c99ea2f7a41966f
134,0,it,,0.01,co,": Isis stermina famiglia e rapisce figlia 14enne | Tempi.it - novembre 21, 2014Redazione Saddam al-Jamal, passato... htt…",548193c39c99ea2f7a419670
135,1,it,,0.01,it,": domani in diretta da straburgo: , e …",548193c39c99ea2f7a419672
136,1,it,,0.01,it,": , scritta blasfema sul contro la :",548663d39c99ea43f11abd92
137,1,en,,0.01,en,yep,54350a4c9c99ea5ab160b32b
138,0,nl,,0.01,af,Mooi!,54350a4e9c99ea5ab160b348
139,1,nl,,0.01,nl,voor.,5437abd69c99ea11b5e273fe
140,1,nl,,0.01,nl,waarom niet?,543954fb9c99ea58444a32fc
141,1,en,,0.01,en,I agree!,543c76c89c99ea5d71e03869
142,1,nl,,0.01,nl,uiteraard!,543fa4259c99ea58deada3dc
143,1,en,,0.01,en,: Excellent:,5445a38c9c99ea0918b7511a
144,1,nl,,0.01,nl,"haha, ja de invloed van een kamerlid reikt tot diep in Straatsburg ....",54478d919c99ea6d4c2527d9
145,0,Uncodable,NULL,NULL,NULL,,544a20659c99ea1b7930087a
146,1,en,0,0.01,en,yep,544a20659c99ea1b7930087b
147,1,nl,,0.01,nl,Cameron's protest naheffing hypocriet en voor de bühne'. Opinie &amp;,54611ef29c99ea193d5e2dbd
148,0,Uncodable,NULL,NULL,NULL,:-),54611ef49c99ea193d5e2ddf
149,0,nl,0,0.01,en,"Halstarrige houding Timmermans tav plastic tasjes geen incident, maar past in breder patroon.",547469a79c99ea3595c386be
150,0,Uncodable,NULL,NULL,NULL,:-)),547469a89c99ea3595c386cc
151,1,nl,0,0.01,nl,Mooi! Lijkt brede steun in MilieuCie EP om emissiehandelsysteem met zgn market stability reserve te repareren!,548193f29c99ea2f7a419912
152,0,nl,,0.01,en,: Om 15.30 stemt over bezwaar ingediend door en over verzwakte regels CO2-reductie bij b…,548193f29c99ea2f7a419913
153,0,Uncodable,NULL,NULL,NULL,,548193f39c99ea2f7a419928
154,0,Uncodable,NULL,NULL,NULL,:-)),549038169c99ea76fdad2ac5
155,0,nl,0,0.01,de,dank je!,549038169c99ea76fdad2acd
156,0,Uncodable,NULL,NULL,NULL,,549038169c99ea76fdad2ace
157,1,nl,0,0.01,nl,prima! Nu wachten en wachten en wachten ....,549038179c99ea76fdad2ae7
158,0,Uncodable,NULL,NULL,NULL,,549038189c99ea76fdad2af3
159,1,fr,0,0.01,fr,": EBOLA: frilosité ou incapacité systémique à réagir? prépare un rapport
Reluctance or systemic failure, MEP…",543c76d49c99ea5d71e038dc
160,1,en,,0.01,en,Walls won't stop planes.,5445a39f9c99ea0918b751e1
161,0,fr,,0.01,en,"En direct : 'Luxembourg, un paradis fiscal?'",547469d09c99ea3595c38953
162,0,Uncodable,,0.01,gl,Hai Simona!!!,544794d89c99ea6d4c252a25
163,0,es,,0.01,pt,Antes tarde que nunca. Viva o ( Penafiel 0 Sporting 4),54351cb29c99ea5ab160f524
164,1,pt,,0.01,pt,Nova Comissão provoca guerra no Parlamento Europeu via,54351cb39c99ea5ab160f528
165,0,Uncodable,,0.01,en,Segue o,54351cb39c99ea5ab160f52f
166,1,pt,,0.01,pt,E deixávamos cair Junker? Merkel agradeceria mas a EU ficava a perder.,54367a909c99ea0525b5fea0
167,1,pt,,0.01,pt,Mortos Vivos - Novo texto (sobre o desastre de Crato) em,543c82a29c99ea5d71e04436
168,0,pt,,0.01,en,"Gol Cristiano Ronaldo, Dinamarca 0 x 1 Portugal - Eliminatorias (2016) 14/10/2014 via",543fb3b19c99ea58deadb38d
169,1,pt,,0.01,pt,Ébola - Novo texto em,5445b56f9c99ea0918b76885
170,0,pt,,0.01,wo,GOOOOLLLLLLOOOOOOOO,5445b5709c99ea0918b76888
171,0,pt,,0.01,en,S&amp;D aplaude com entusiasmo grande parte do discurso de . PPE nem tanto:),5447a08d9c99ea6d4c2535ed
172,0,pt,,0.01,en,Excelente intervenção de Jean Claude Juncker agora no Parlamento Europeu.,5447a08d9c99ea6d4c2535ee
173,1,pt,,0.01,pt,vou ponderar.,544852639c99ea3ee0997277
174,1,pt,,0.01,pt,Querem Proibir as touradas? (exportam-se os touros) ou Proibir a criação de touros bravos?(importam-se os touros),544852639c99ea3ee099727b
175,0,pt,,0.01,en,Sou contra financiamento público a touradas.,544852649c99ea3ee099727f
176,0,pt,,0.01,es,GRUPO SOCIALISTA NO PARLAMENTO EUROPEU - NOTICIAS,544a2c9a9c99ea1b7930137c
177,1,en,,0.01,en,: started with,544a2c9a9c99ea1b7930137e
178,0,pt,,0.01,es,GRUPO SOCIALISTA NO PARLAMENTO EUROPEU - NOTICIAS,5461320f9c99ea193d5e7480
179,0,Uncodable,,0.01,en,Duke 3 BdC 0,5461320f9c99ea193d5e7487
180,0,es,,0.01,en,: na elite dos clubes formadores,546132109c99ea193d5e7492
181,0,es,,0.01,pt,: ÚLTIMA HORA: Dilma Rousseff se perfila como presidenta reelecta de Brasil según los resultados preliminares,546132109c99ea193d5e749b
182,0,pt,,0.01,da,Mazou naturaliza-se português:),546132119c99ea193d5e74a5
183,1,en,,0.01,en,: : Montero's goal,546132119c99ea193d5e74a6
184,0,Uncodable,,0.01,su,SPOING (4-2),546132119c99ea193d5e74a8
185,0,pt,,0.01,sk,Marco ... Este é o momento de mostrares que És treinador:),546132119c99ea193d5e74aa
186,0,es,,0.01,pt,: Grande c! Vídeo con resumen del 3 - 1,546132119c99ea193d5e74ae
187,0,pt,,0.01,en,Socialistas europeus criticam falta de interesse de Portugal no Plano Juncker,54747c5d9c99ea3595c3d0dc
188,1,pt,,0.01,pt,C Forte - novo texto em,54747c5e9c99ea3595c3d0e0
189,1,pt,,0.01,pt,"“: Europa: A proposta de investimentos do grupo dos Eurodeputados Socialistas , em",54747c5e9c99ea3595c3d0e4
190,1,pt,,0.01,pt,"“: Europa: A proposta de investimentos do grupo dos Eurodeputados Socialistas, em",54747c5e9c99ea3595c3d0e6
191,0,es,,0.01,en,Plano de investimento de 800 BI,54747c5e9c99ea3595c3d0e7
192,0,Uncodable,NULL,NULL,NULL,:,54747c5e9c99ea3595c3d0ed
193,1,pt,0,0.01,pt,"Ouvindo o Prémio Nobel da Medicina em 2013, Thomas Sudhof, falando sobre o Cérebro. Agora no PE (STOA - Scientific Foresight Unit)",54747c5e9c99ea3595c3d0f1
194,1,pt,,0.01,pt,São VERDES? via,54747c5f9c99ea3595c3d100
195,1,pt,,0.01,pt,"Interrogando Canēte sobre Interconexões. Como sancionar os Países que bloquearem o mercado único da energia. Resposta vaga, sem compromisso.",54747c5f9c99ea3595c3d106
196,0,Uncodable,NULL,NULL,NULL,:,54747c609c99ea3595c3d108
197,0,pt,0,0.01,en,Europa.28 debate Plano Juncker - Pt.1: via,5481a6509c99ea2f7a41d6a1
198,0,pt,,0.01,en,Europa.28 debate Plano Juncker - Pt.2: via,5481a6509c99ea2f7a41d6a2
199,0,pt,,0.01,ca,GRUPO SOCIALISTA NO PARLAMENTO EUROPEU - STAUP LISBOA: SUCESSO POUGUÊS DADO COMO EXEMPLO NO PARLAMENTO EUROPEU,5481a6519c99ea2f7a41d6a5
200,0,Uncodable,,0.01,en,": Ballon d'or : Ronaldo, Messi et Neuer finalistes",5481a6519c99ea2f7a41d6ae
201,1,pt,,0.01,pt,"O Alentejo veio ao Congresso
via",5481a6519c99ea2f7a41d6b0
202,0,es,,0.01,pt,Discurso de Força e de Estadista agora na FIL -António Costa -,5481a6519c99ea2f7a41d6b2
203,1,pt,,0.01,pt,": Resumo ária , émioSakharov çamentoUE e mais:",5481a6519c99ea2f7a41d6b4
204,0,Uncodable,,0.01,la,“: Cantem Alentejano:),5481a6529c99ea2f7a41d6c3
205,1,en,,0.01,en,Sporting :),5481a6529c99ea2f7a41d6ca
206,1,pt,,0.01,pt,Carlos Zorrinho e José Eduardo Martins Frente-a-frente,5484b5229c99ea41222197ce
207,0,Uncodable,,0.01,en,: GOLOOOO,548998b59c99ea60368fa105
208,0,pt,,0.01,en,"- ANA GOMES E CARLOS ZORRINHO ORGANIZAM DEBATE NO PE SOBRE 'POUGAL, A CRISE PAGA PELOS PENSIONISTAS'",548998b59c99ea60368fa107
209,1,pt,,0.01,pt,: Futsal - Mundial Feminino: segue para as meias-finais,54904fb69c99ea76fdad46e7
210,1,pt,,0.01,pt,"“ ""para a questão da lei da cópia privada, win win é cobrar a taxa na venda da obra"" - E quando a obra é fruída sem ser comprada?",54904fb79c99ea76fdad46e9
211,1,en,,0.01,en,"Coelho ally quits over Portugal’s ‘golden visa’ scheme: -vai portugāļu ""Labirints"" nesagraus arī TUA biznesu LV?",54747c5b9c99ea3595c3d0c5
212,0,bg,NULL,NULL,NULL,: Террорист №1 в мире. Если согласен - Ретвит!,54747c5b9c99ea3595c3d0c8
213,1,lv,0,0.01,lv,": Ko iegūsim no ? 5dien diskutēsim ar , , uc. Tiešraide h…",548998b39c99ea60368fa0f0
214,1,en,,15.21,en,": Sometimes, you just have to give up. #обменвалют",54904fb39c99ea76fdad46c9
215,0,Uncodable,NULL,NULL,NULL,,54351ca79c99ea5ab160f468
216,0,bg,0,0.01,mk,Татьяна Жданок: Украина стала заложницей в войне Запада против России,54351ca79c99ea5ab160f46a
217,1,bg,,0.01,ru,Евродневник Татьяны Жданок №60,544a2c969c99ea1b79301353
218,0,bg,,0.01,sr,Евродневник Татьяны Жданок №60: на,544a2c969c99ea1b79301354
219,0,bg,NULL,NULL,NULL,"Выступление на асамблее ""Русского мира""",546132009c99ea193d5e739f
220,0,bg,NULL,NULL,NULL,"Выступление Татьяны Жданок на ассамблее ""Русского мира"": на",546132009c99ea193d5e73a0
221,1,bg,0,0.01,ru,Евродневник Татьяны Жданок №29,5481a6449c99ea2f7a41d5ef
222,0,bg,,0.01,sr,Евродневник №31,5481a6449c99ea2f7a41d5f0
223,0,bg,,0.01,sr,Евродневник №32,5481a6449c99ea2f7a41d5f1
224,0,bg,,0.01,sr,Евродневник №35,5481a6449c99ea2f7a41d5f2
225,0,bg,,0.01,sr,Евродневник №36,5481a6449c99ea2f7a41d5f4
226,0,bg,,0.01,sr,Евродневник № 38,5481a6449c99ea2f7a41d5f5
227,0,bg,,0.01,sr,Евродневник № 39,5481a6449c99ea2f7a41d5f6
228,0,bg,,0.01,sr,Евродневник № 40,5481a6449c99ea2f7a41d5f7
229,0,bg,,0.01,be,"Интервью телеканалу ""Россия24""",5481a6449c99ea2f7a41d5f8
230,0,bg,,0.01,sr,Евродневник №61,5481a6449c99ea2f7a41d5f9
231,0,bg,,0.01,sr,Евродневник Татьяны Жданок №61: на,5481a6449c99ea2f7a41d5fa
232,0,bg,,0.01,sr,Евродневник №61,5481a6449c99ea2f7a41d5fb
233,0,Uncodable,,0.01,en,:D,54351c819c99ea5ab160f221
234,0,pl,,0.01,la,żegnam,54747c369c99ea3595c3ce67
235,1,pl,,0.01,pl,pozdr :),548673869c99ea43f11ac91d
236,1,pl,,0.01,pl,dzięki:),548673869c99ea43f11ac91f
237,1,pl,,0.01,pl,dzięki :),548673869c99ea43f11ac920
238,0,Uncodable,NULL,NULL,NULL,,54904f9d9c99ea76fdad45f5
239,0,Uncodable,NULL,NULL,NULL,,54904f9d9c99ea76fdad45f7
240,0,pl,0,0.01,om,Trafne,54904f9e9c99ea76fdad45fa
241,0,Uncodable,NULL,NULL,NULL,: :,54904f9e9c99ea76fdad45fb
242,1,en,0,0.01,en,Thanks Lucy!,5447a07f9c99ea6d4c253541
243,1,en,,0.01,en,": . »Ambiguity of ’s statemnt &amp; subsequent silence,real concern:",546131da9c99ea193d5e7196
244,1,en,,0.01,en,: . team,54747c349c99ea3595c3ce49
245,0,Uncodable,,0.01,en,: Y'day,5481a6299c99ea2f7a41d46b
246,0,sv,,0.01,en,Intervjuad i om nya EU-kommissionen som vi just nu frågar ut,54351c779c99ea5ab160f186
247,1,en,,0.01,en,: EP hears Q 4 : …,54351c789c99ea5ab160f192
248,0,en,,0.01,na,Humor?,54351c789c99ea5ab160f19a
249,1,sv,,0.01,sv,"""Kulturkommissionären röstades ner"" via",54351c789c99ea5ab160f19b
250,1,sv,,0.01,sv,Rätt att underkänna Navracsics i kulturutskottet,54351c789c99ea5ab160f19e
251,1,en,,0.01,en,": ALDE MEPs , Y. Toom, M.Diaconu &amp; grilled today",54351c799c99ea5ab160f1ab
252,1,sv,,0.01,sv,: Kontroversiell kommissionärskandidat frågas ut av EU-parlamentet. via,54351c799c99ea5ab160f1b3
253,1,sv,,0.01,sv,Tack!,5439b5ef9c99ea0360ca3cbd
254,1,sv,,0.01,sv,"I veckans youtube-klipp fr Strasbourg: om nya Juncker-kommissionen, &amp;",5446f8af9c99ea1eb3eb0170
255,1,sv,,0.01,sv,Debatterar i dag polisoperationen i plenum. Polisoperationen måste stoppas!,5447a07d9c99ea6d4c253535
256,0,sv,,0.01,en,Debatterar den skandalösa polisinsatsen Mos Maiorum i plenum. Operationen bör avslutas asap!,544852579c99ea3ee099720a
257,0,sv,,0.01,en,svarar på TT!,546131d59c99ea193d5e7142
258,1,sv,,0.01,sv,Står värd för seminariet European Populism and Winning the Immigration debate. SDs två MEPs är på plats. Intressant.,546131d59c99ea193d5e7145
259,1,sv,,0.01,sv,"Se mitt tal i plenum om situationen i Ungern: ""tydligt att Ungerns sönderfall sker på område efter område""",546131d59c99ea193d5e714c
260,1,sv,,0.01,sv,: . glädjs åt att kontroversiell ungrare avpolleterats i nya EU-kommissionen.,546131d79c99ea193d5e7170
261,1,sv,,0.01,sv,Hur menar du?,54747c309c99ea3595c3cdfd
262,1,da,,0.01,da,Nu avhandlas misstroendet mot kommissionen i plenum i Strasbourg.,54747c309c99ea3595c3ce03
