right_left,twitter_handle,born,total_screen_name_replies,GDP_per_capita_PPS_2013,total_retweets,WEF_Global_IT_score_2014,Press_freedom_2014,twitter_birthday,total_status_id_replies,native_lang,european_party,days_served,Median_age_2014,nationality,share_2009-share_2014,total_tweets,name,gender,Electoral_system,internal_cohesion_score_2009-2014,total_favorites
1,ale_moretti,1973-06-24 00:00:00,162,99,199,4.18,23.75,2012-03-30,158,it,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,44.5,Italy,-13.3,527,Alessandra MORETTI,female,1,8.5,2472
0,Ale_Mussolini_,1962-12-30 00:00:00,131,99,123,4.18,23.75,2009-09-02,90,it,Group of the European People's Party (Christian Democrats),1378,44.5,Italy,22.47,309,Alessandra MUSSOLINI,female,1,7.5,555
1,alessiamosca,1975-05-23 00:00:00,19,99,69,4.18,23.75,2008-04-28,17,it,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,44.5,Italy,-13.3,261,Alessia Maria MOSCA,female,1,8.5,330
1,Lambsdorff,1966-11-05 00:00:00,45,122,41,5.5,10.23,2010-05-28,38,de,Group of the Alliance of Liberals and Democrats for Europe,3633,46.1,Germany,9,144,Alexander Graf LAMBSDORFF,male,0,11.5,194
1,SantAlfred,1948-02-28 00:00:00,0,86,0,4.96,23.84,2013-06-30,0,mt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,40.9,Malta,10,97,Alfred SANT,male,1,8.5,10
0,SaudargasA,1948-04-17 00:00:00,0,73,1,4.78,19.2,2014-03-06,0,lt,Group of the European People's Party (Christian Democrats),1813,41.2,Lithuania,15.15,2,Algirdas SAUDARGAS,male,1,7.5,0
0,lojzepeterle,1948-07-05 00:00:00,6,82,65,4.6,20.38,2009-04-28,4,sl,Group of the European People's Party (Christian Democrats),3713,43.5,Slovenia,1.79,339,Alojz PETERLE,male,1,7.5,382
1,AlynSmithMEP,1973-09-15 00:00:00,136,109,204,5.54,19.93,2009-03-06,124,en,Group of the Greens/European Free Alliance,3633,40.4,United Kingdom,0.04,522,Alyn SMITH,male,0,5.5,1887
0,amjadbashirMEP,1952-09-17 00:00:00,5,109,256,5.54,19.93,2014-07-06,3,en,Europe of freedom and direct democracy Group,0,40.4,United Kingdom,-14.82,368,Amjad BASHIR,male,0,51.5,1204
1,AnaGomesMEP,1954-02-09 00:00:00,301,79,961,4.73,17.73,2012-08-21,245,pt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3633,41.1,Portugal,-6.28,1533,Ana GOMES,female,0,8.5,437
0,AndersVistisen,1987-11-12 00:00:00,129,124,11,5.5,7.43,2011-07-15,127,da,European Conservatives and Reformists Group,0,41.6,Denmark,-15.38,267,Anders Primdahl VISTISEN,male,1,13.5,95
1,,1982-01-05 00:00:00,0,55,0,3.95,23.48,,0,ro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,39.8,Romania,-7.2,0,Andi CRISTEA,male,0,8.5,0
0,,1977-05-02 00:00:00,0,66,0,4.32,26.73,,0,hu,Group of the European People's Party (Christian Democrats),0,41.1,Hungary,2.16,0,Andor DELI,male,0,7.5,0
0,,1972-12-02 00:00:00,0,66,0,4.32,26.73,,0,hu,Group of the European People's Party (Christian Democrats),3713,41.1,Hungary,2.16,0,András GYÜRK,male,0,7.5,0
0,,1978-08-11 00:00:00,0,66,0,4.32,26.73,,0,hu,Group of the European People's Party (Christian Democrats),0,41.1,Hungary,2.16,0,Andrea BOCSKOR,female,0,7.5,0
1,cozzolino62,1962-08-03 00:00:00,7,99,52,4.18,23.75,2012-01-18,4,it,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1813,44.5,Italy,-13.3,238,Andrea COZZOLINO,male,1,8.5,188
0,Andreas_Schwab,1973-04-09 00:00:00,41,122,182,5.5,10.23,2009-04-14,34,de,Group of the European People's Party (Christian Democrats),3633,46.1,Germany,4.14,316,Andreas SCHWAB,male,0,7.5,111
0,AndrejPlenkovic,1970-04-08 00:00:00,3,61,29,4.34,26.82,2014-01-06,0,hr,Group of the European People's Party (Christian Democrats),365,42.1,Croatia,13.64,147,Andrej PLENKOVIĆ,male,1,7.5,330
1,,1976-03-11 00:00:00,0,64,0,4.58,21.1,,0,lv,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,41.4,Latvia,-12.5,0,Andrejs MAMIKINS,male,1,8.5,0
0,,1971-07-18 00:00:00,0,109,0,5.54,19.93,,0,en,European Conservatives and Reformists Group,0,40.4,United Kingdom,8.69,0,Andrew LEWER,male,0,13.5,0
0,andreykovatchev,1967-12-13 00:00:00,0,45,1,3.96,31.42,2010-09-10,0,bg,Group of the European People's Party (Christian Democrats),1772,42.6,Bulgaria,-5.88,36,Andrey KOVATCHEV,male,1,7.5,38
1,Ansip_EU,1956-10-01 00:00:00,96,73,30,5.27,9.63,2014-09-11,91,et,Group of the Alliance of Liberals and Democrats for Europe,0,41.2,Estonia,-7.69,219,Andrus ANSIP,male,1,11.5,1557
0,AndrzejDuda,1972-05-16 00:00:00,43,67,98,4.24,11.03,2010-10-13,42,pl,European Conservatives and Reformists Group,0,39.5,Poland,-3.33,199,Andrzej DUDA,male,1,13.5,706
0,GrzybAndrzej,1956-08-23 00:00:00,95,67,403,4.24,11.03,2013-01-25,86,pl,Group of the European People's Party (Christian Democrats),1892,39.5,Poland,-1.84,643,Andrzej GRZYB,male,1,7.5,123
0,,1979-03-21 00:00:00,0,45,0,3.96,31.42,,0,bg,European Conservatives and Reformists Group,0,42.6,Bulgaria,-5.88,0,Angel DZHAMBAZKI,male,1,13.5,0
1,AngelaVallina,1959-07-06 00:00:00,28,94,139,4.69,20.63,2014-03-07,13,es,Confederal Group of the European United Left - Nordic Green Left,0,41.6,Spain,-5.41,297,Ángela VALLINA,female,0,20.5,490
1,AngelikaMlinar,1970-06-29 00:00:00,152,128,422,5.26,10.01,2009-06-18,147,de,Group of the Alliance of Liberals and Democrats for Europe,0,44.3,Austria,-5.56,735,Angelika MLINAR,female,1,11.5,406
0,ANiebler,1963-02-18 00:00:00,9,122,41,5.5,10.23,2012-10-17,1,de,Group of the European People's Party (Christian Democrats),5460,46.1,Germany,2.87,76,Angelika NIEBLER,female,0,7.5,23
0,Delahaye_Europe,1963-02-22 00:00:00,9,107,100,5.09,21.89,2014-05-03,9,fr,Group of the European People's Party (Christian Democrats),0,40.9,France,9.08,122,Angélique DELAHAYE,female,0,7.5,4
1,anjahazekamp,1968-01-21 00:00:00,26,131,78,5.79,6.46,2010-05-20,24,nl,Confederal Group of the European United Left - Nordic Green Left,0,42.1,Netherlands,-3.85,186,Anja HAZEKAMP,female,1,20.5,76
0,,1957-01-12 00:00:00,0,67,0,4.24,11.03,,0,pl,European Conservatives and Reformists Group,490,39.5,Poland,-3.33,0,Anna Elżbieta FOTYGA,female,1,13.5,0
1,AnnaHedh,1967-03-18 00:00:00,47,127,458,5.93,8.98,2009-01-24,42,sv,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3633,41.2,Sweden,2.78,650,Anna HEDH,female,1,8.5,204
0,AnnaMariaCB,1963-03-10 00:00:00,59,127,219,5.93,8.98,2009-04-06,52,sv,Group of the European People's Party (Christian Democrats),1813,41.2,Sweden,7.22,750,Anna Maria CORAZZA BILDT,female,1,7.5,1663
0,AnnaZaborska,1948-06-07 00:00:00,0,75,0,4.12,11.39,2010-06-09,0,sk,Group of the European People's Party (Christian Democrats),3713,39.2,Slovakia,0,0,Anna ZÁBORSKÁ,female,1,7.5,0
0,ASanderMEP,1973-10-01 00:00:00,2,107,34,5.09,21.89,2014-07-08,0,fr,Group of the European People's Party (Christian Democrats),0,40.9,France,9.08,73,Anne SANDER,female,0,7.5,24
1,AnneMarieMineur,1967-05-14 00:00:00,138,131,353,5.79,6.46,2009-09-24,134,nl,Confederal Group of the European United Left - Nordic Green Left,0,42.1,Netherlands,0.31,802,Anne-Marie MINEUR,female,1,20.5,160
1,jaatteenmaki,1955-02-11 00:00:00,8,113,61,6.04,6.4,2012-02-09,6,fi,Group of the Alliance of Liberals and Democrats for Europe,3633,43.2,Finland,0,171,Anneli JÄÄTTEENMÄKI,female,1,11.5,188
1,AnnelieseDodds,1978-03-16 00:00:00,26,109,159,5.54,19.93,2012-03-08,22,en,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,40.4,United Kingdom,-9.34,290,Anneliese DODDS,female,0,8.5,270
1,,1944-06-17 00:00:00,0,119,0,5.06,12.8,,0,nl,Group of the Alliance of Liberals and Democrats for Europe,5438,43.1,Belgium,-0.65,0,Annemie NEYTS-UYTTEBROECK,female,1,11.5,0
0,AnnieSchreijer,1953-02-17 00:00:00,27,131,133,5.79,6.46,2014-04-02,23,nl,Group of the European People's Party (Christian Democrats),0,42.1,Netherlands,0.77,300,Annie SCHREIJER-PIERIK,female,1,7.5,156
1,antanasguoga,1973-12-17 00:00:00,1,73,8,4.78,19.2,2014-05-29,0,lt,Group of the Alliance of Liberals and Democrats for Europe,0,41.2,Lithuania,-9.85,11,Antanas GUOGA,male,1,11.5,3
0,anthea_mcintyre,1954-06-29 00:00:00,5,109,45,5.54,19.93,2013-06-21,5,en,European Conservatives and Reformists Group,943,40.4,United Kingdom,8.69,82,Anthea McINTYRE,female,0,13.5,39
0,TonoEPP,1970-04-01 00:00:00,1,94,20,4.69,20.63,2010-03-03,0,es,Group of the European People's Party (Christian Democrats),3633,41.6,Spain,16.37,52,Antonio LÓPEZ-ISTÚRIZ WHITE,male,0,7.5,107
1,marinhoepinto,1950-09-10 00:00:00,0,79,0,4.73,17.73,2010-08-27,0,pt,Group of the Alliance of Liberals and Democrats for Europe,0,41.1,Portugal,-0.22,0,António MARINHO E PINTO,male,0,11.5,0
0,Antonio_Tajani,1953-08-04 00:00:00,38,99,417,4.18,23.75,2012-03-19,32,it,Group of the European People's Party (Christian Democrats),5042,44.5,Italy,22.47,623,Antonio TAJANI,male,1,7.5,945
0,ArnaudDanjean,1971-02-11 00:00:00,52,107,80,5.09,21.89,2011-12-17,45,fr,Group of the European People's Party (Christian Democrats),1813,40.9,France,9.08,358,Arnaud DANJEAN,male,0,7.5,786
0,Arne_Gericke,1964-11-19 00:00:00,5,122,5,5.5,10.23,2014-09-04,1,de,European Conservatives and Reformists Group,0,46.1,Germany,-1.04,70,Arne GERICKE,male,0,13.5,11
1,ArneLietz,1976-07-23 00:00:00,0,122,0,5.5,10.23,2013-01-05,0,de,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,46.1,Germany,-4.89,124,Arne LIETZ,male,0,8.5,37
0,Pabriks,1966-03-22 00:00:00,203,64,945,4.58,21.1,2010-11-23,201,lv,Group of the European People's Party (Christian Democrats),0,41.4,Latvia,-12.5,1595,Artis PABRIKS,male,1,7.5,1711
0,Ashleyfoxmep,1969-11-15 00:00:00,21,109,19,5.54,19.93,2013-07-11,21,en,European Conservatives and Reformists Group,1813,40.4,United Kingdom,8.69,78,Ashley FOX,male,0,13.5,106
0,AxelVossMdEP,1963-04-07 00:00:00,3,122,90,5.5,10.23,2011-02-02,3,de,Group of the European People's Party (Christian Democrats),1813,46.1,Germany,4.14,166,Axel VOSS,male,0,7.5,26
0,a_chauprade,1969-01-13 00:00:00,0,107,16,5.09,21.89,2011-09-01,0,fr,Non-attached Members,0,40.9,France,-24.21,86,Aymeric CHAUPRADE,male,0,,1099
0,,1965-02-16 00:00:00,0,128,0,5.26,10.01,,0,de,Non-attached Members,0,44.3,Austria,-10.46,0,Barbara KAPPEL,female,1,,0
0,BarbaraKudrycka,1956-01-22 00:00:00,1,67,19,4.24,11.03,2010-02-16,1,pl,Group of the European People's Party (Christian Democrats),1213,39.5,Poland,14.71,49,Barbara KUDRYCKA,female,1,7.5,45
1,blochbihler,1959-05-20 00:00:00,31,122,60,5.5,10.23,2012-09-10,23,de,Group of the Greens/European Free Alliance,1813,46.1,Germany,2.68,123,Barbara LOCHBIHLER,female,0,5.5,180
0,BarbaraMatera,1981-12-09 00:00:00,0,99,0,4.18,23.75,2009-04-28,0,it,Group of the European People's Party (Christian Democrats),1813,44.5,Italy,22.47,0,Barbara MATERA,female,1,7.5,0
1,,1946-05-31 00:00:00,0,99,0,4.18,23.75,,0,it,Confederal Group of the European United Left - Nordic Green Left,0,44.5,Italy,-4.11,0,Barbara SPINELLI,female,1,20.5,0
1,BartStaes,1958-08-07 00:00:00,33,119,86,5.06,12.8,2009-01-24,17,nl,Group of the Greens/European Free Alliance,5460,43.1,Belgium,-0.22,330,Bart STAES,male,1,5.5,401
0,BasBelderMEP,1946-10-25 00:00:00,1,131,31,5.79,6.46,2010-12-09,0,nl,European Conservatives and Reformists Group,5460,42.1,Netherlands,0.15,113,Bas BELDER,male,1,13.5,32
1,BasEickhout,1976-10-08 00:00:00,429,131,397,5.79,6.46,2009-01-30,428,nl,Group of the Greens/European Free Alliance,1813,42.1,Netherlands,4.31,1090,Bas EICKHOUT,male,1,5.5,592
0,BeataGosiewska,1971-03-06 00:00:00,0,67,0,4.24,11.03,2013-03-05,0,pl,European Conservatives and Reformists Group,0,39.5,Poland,-3.33,0,Beata Barbara GOSIEWSKA,female,1,13.5,0
0,Beatrix_vStorch,1971-05-27 00:00:00,0,122,0,5.5,10.23,2012-09-05,0,de,European Conservatives and Reformists Group,0,46.1,Germany,-7.29,1,Beatrix von STORCH,female,0,13.5,5
1,beatrizbecerrab,1966-11-14 00:00:00,334,94,407,4.69,20.63,2010-06-16,332,es,Group of the Alliance of Liberals and Democrats for Europe,0,41.6,Spain,-5.41,1202,Beatriz BECERRA BASTERRECHEA,female,0,11.5,2312
0,,1960-02-25 00:00:00,0,66,0,4.32,26.73,,0,hu,Non-attached Members,1492,41.1,Hungary,-0.65,0,Béla KOVÁCS,male,0,,0
0,BendtEU,1954-03-25 00:00:00,6,124,1,5.5,7.43,2012-12-06,6,da,Group of the European People's Party (Christian Democrats),1813,41.6,Denmark,0,36,Bendt BENDTSEN,male,1,7.5,125
1,javorbenedek,1972-07-02 00:00:00,3,66,16,4.32,26.73,2010-07-26,0,hu,Group of the Greens/European Free Alliance,0,41.1,Hungary,-4.76,33,Benedek JÁVOR,male,0,5.5,9
0,bernard_monot,1962-07-03 00:00:00,44,107,164,5.09,21.89,2014-02-23,37,fr,Non-attached Members,0,40.9,France,-24.21,292,Bernard MONOT,male,0,,495
0,,1958-12-08 00:00:00,0,122,0,5.5,10.23,,0,de,European Conservatives and Reformists Group,0,46.1,Germany,-7.29,0,Bernd KÖLMEL,male,0,13.5,0
1,berndlange,1955-11-14 00:00:00,1,122,1,5.5,10.23,2008-11-23,1,de,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5466,46.1,Germany,-4.89,29,Bernd LANGE,male,0,8.5,31
0,BerndLucke,1962-08-19 00:00:00,0,122,0,5.5,10.23,2013-03-12,0,de,European Conservatives and Reformists Group,0,46.1,Germany,-7.29,0,Bernd LUCKE,male,0,13.5,0
1,BiljanaBorzan,1971-11-29 00:00:00,12,61,29,4.34,26.82,2013-07-01,11,hr,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,365,42.1,Croatia,23.48,88,Biljana BORZAN,female,1,8.5,37
0,BillDudleyNorth,1970-03-18 00:00:00,189,109,170,5.54,19.93,2010-06-14,183,en,Europe of freedom and direct democracy Group,0,40.4,United Kingdom,-14.82,499,Bill ETHERIDGE,male,0,51.5,606
0,,1956-09-04 00:00:00,0,122,0,5.5,10.23,,0,de,Group of the European People's Party (Christian Democrats),836,46.1,Germany,4.14,0,Birgit COLLIN-LANGEN,female,0,7.5,0
1,BirgitSippelMEP,1960-01-29 00:00:00,13,122,117,5.5,10.23,2013-07-09,10,de,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1813,46.1,Germany,-4.89,312,Birgit SIPPEL,female,0,8.5,105
1,BodilCeballos,1958-05-14 00:00:00,110,127,152,5.93,8.98,2009-05-07,105,sv,Group of the Greens/European Free Alliance,0,41.2,Sweden,-8.89,400,Bodil CEBALLOS,female,1,5.5,153
0,BZdrojewski,1957-05-18 00:00:00,0,67,0,4.24,11.03,2011-08-31,0,pl,Group of the European People's Party (Christian Democrats),0,39.5,Poland,14.71,5,Bogdan Andrzej ZDROJEWSKI,male,1,7.5,17
0,,1961-11-19 00:00:00,0,67,0,4.24,11.03,,0,pl,Group of the European People's Party (Christian Democrats),0,39.5,Poland,-1.96,0,Bogdan Brunon WENTA,male,1,7.5,0
1,BLiberadzki,1948-09-12 00:00:00,0,67,12,4.24,11.03,2012-07-24,0,pl,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3713,39.5,Poland,2.2,124,Bogusław LIBERADZKI,male,1,8.5,26
0,,1954-05-19 00:00:00,0,67,0,4.24,11.03,,0,pl,European Conservatives and Reformists Group,0,39.5,Poland,-3.33,0,Bolesław G. PIECHA,male,1,13.5,0
1,zalaboris,1954-12-09 00:00:00,0,75,0,4.12,11.39,2010-09-21,0,sk,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1813,39.2,Slovakia,7.69,0,Boris ZALA,male,1,8.5,0
1,brandobenifei,1986-01-01 00:00:00,12,99,171,4.18,23.75,2009-11-03,12,it,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,44.5,Italy,-13.3,365,Brando BENIFEI,male,1,8.5,235
0,BranoSkripek,1970-08-30 00:00:00,2,75,2,4.12,11.39,2012-01-23,0,sk,European Conservatives and Reformists Group,0,39.2,Slovakia,-7.69,32,Branislav ŠKRIPEK,male,1,13.5,1
0,,1964-03-04 00:00:00,0,130,0,5.07,10.87,,0,en,European Conservatives and Reformists Group,7287,35.7,Ireland,15.91,0,Brian CROWLEY,male,2,13.5,0
0,brianhayesMEP,1969-08-23 00:00:00,3,130,6,5.07,10.87,2010-12-20,1,en,Group of the European People's Party (Christian Democrats),0,35.7,Ireland,-3.03,86,Brian HAYES,male,2,7.5,100
0,BriceHortefeux,1958-05-11 00:00:00,0,107,0,5.09,21.89,2014-05-05,0,fr,Group of the European People's Party (Christian Democrats),3282,40.9,France,9.08,0,Brice HORTEFEUX,male,0,7.5,0
1,,1955-04-14 00:00:00,0,73,0,4.78,19.2,,0,lt,Group of the Greens/European Free Alliance,0,41.2,Lithuania,-9.09,0,Bronis ROPĖ,male,1,5.5,0
0,brunogollnisch,1950-01-28 00:00:00,2,107,36,5.09,21.89,2010-07-02,2,fr,Non-attached Members,9107,40.9,France,-24.21,161,Bruno GOLLNISCH,male,0,,1056
0,buba0769,1969-07-24 00:00:00,0,122,0,5.5,10.23,2009-05-03,0,de,Group of the European People's Party (Christian Democrats),1813,46.1,Germany,4.14,0,Burkhard BALZ,male,0,7.5,0
0,CarlosCoelhoPE,1960-05-20 00:00:00,0,79,0,4.73,17.73,2009-02-18,0,pt,Group of the European People's Party (Christian Democrats),5956,41.1,Portugal,7.79,5,Carlos COELHO,male,0,7.5,2
1,czorrinho,1959-05-28 00:00:00,54,79,109,4.73,17.73,2009-04-22,51,pt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,41.1,Portugal,-6.28,341,Carlos ZORRINHO,male,0,8.5,254
1,Catalin_Ivan,1978-12-23 00:00:00,0,55,0,3.95,23.48,2010-02-28,0,ro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1813,39.8,Romania,-7.2,1,Cătălin Sorin IVAN,male,0,8.5,4
1,CaterinaChinnic,1954-11-05 00:00:00,4,99,89,4.18,23.75,2014-01-03,0,it,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,44.5,Italy,-13.3,146,Caterina CHINNICI,female,1,8.5,39
1,catherinemep,1949-01-14 00:00:00,238,109,382,5.54,19.93,2012-01-04,231,en,Group of the Alliance of Liberals and Democrats for Europe,1813,40.4,United Kingdom,13.91,1081,Catherine BEARDER,female,0,11.5,1685
1,C_Stihler_MEP,1973-07-30 00:00:00,269,109,477,5.54,19.93,2009-01-07,192,en,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5460,40.4,United Kingdom,-9.34,1110,Catherine STIHLER,female,0,8.5,974
1,CeciliaWikstrom,1965-10-17 00:00:00,63,127,117,5.93,8.98,2012-03-20,62,sv,Group of the Alliance of Liberals and Democrats for Europe,1813,41.2,Sweden,6.67,432,Cecilia WIKSTRÖM,female,1,11.5,464
1,CharlesGoerens,1952-02-06 00:00:00,3,257,20,5.53,6.7,2012-06-12,0,de,Group of the Alliance of Liberals and Democrats for Europe,2666,39.6,Luxembourg,0,77,Charles GOERENS,male,1,11.5,31
0,CharlesTannock,1957-09-25 00:00:00,95,109,126,5.54,19.93,2012-10-30,93,en,European Conservatives and Reformists Group,5460,40.4,United Kingdom,8.69,311,Charles TANNOCK,male,0,13.5,193
1,SchaldemoseMEP,1967-08-04 00:00:00,87,124,35,5.5,7.43,2013-03-07,87,da,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2816,41.6,Denmark,7.69,192,Christel SCHALDEMOSE,female,1,8.5,287
0,,1963-08-17 00:00:00,0,122,0,5.5,10.23,,0,de,Group of the European People's Party (Christian Democrats),3633,46.1,Germany,4.14,0,Christian EHLER,male,0,7.5,0
1,,1971-11-10 00:00:00,0,107,0,5.09,21.89,,0,fr,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,83,40.9,France,3.23,0,Christine REVAULT D'ALLONNES BONNEFOY,female,0,8.5,0
0,Fjellner,1976-12-13 00:00:00,155,127,137,5.93,8.98,2009-02-24,153,sv,Group of the European People's Party (Christian Democrats),3633,41.2,Sweden,7.22,570,Christofer FJELLNER,male,1,7.5,1713
0,,1958-06-26 00:00:00,0,89,0,4.6,14.45,,0,el,Group of the European People's Party (Christian Democrats),0,35.7,Cyprus,0,0,Christos STYLIANIDES,male,1,7.5,0
1,ClaraAguilera7,1964-01-03 00:00:00,21,94,430,4.69,20.63,2012-11-10,14,es,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,41.6,Spain,10.37,715,Clara Eugenia AGUILERA GARCÍA,female,0,8.5,329
1,ClareMMoody,1965-10-30 00:00:00,0,109,0,5.54,19.93,2010-11-02,0,en,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,40.4,United Kingdom,-9.34,1,Clare MOODY,female,0,8.5,1
1,ClaudeMoraesMEP,1965-10-22 00:00:00,44,109,149,5.54,19.93,2012-09-12,38,en,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5460,40.4,United Kingdom,-9.34,304,Claude MORAES,male,0,8.5,322
0,clauderolin,1957-05-26 00:00:00,8,119,4,5.06,12.8,2011-06-01,2,nl,Group of the European People's Party (Christian Democrats),0,43.1,Belgium,-0.22,33,Claude ROLIN,male,1,7.5,10
1,ClaudeTurmes,1960-11-26 00:00:00,7,257,21,5.53,6.7,2009-04-23,7,de,Group of the Greens/European Free Alliance,5460,39.6,Luxembourg,0,73,Claude TURMES,male,1,5.5,166
0,cmonteiroaguiar,1982-04-08 00:00:00,0,79,1,4.73,17.73,2011-01-18,0,pt,Group of the European People's Party (Christian Democrats),0,41.1,Portugal,7.79,4,Cláudia MONTEIRO DE AGUIAR,female,0,7.5,1
0,,1963-04-26 00:00:00,0,128,0,5.26,10.01,,0,de,Group of the European People's Party (Christian Democrats),0,44.3,Austria,7.52,0,Claudia SCHMIDT,female,1,7.5,0
1,ClaudiaTapardel,1983-12-16 00:00:00,0,55,5,3.95,23.48,2014-07-15,0,ro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,39.8,Romania,-7.2,17,Claudia TAPARDEL,female,0,8.5,4
1,,1965-07-19 00:00:00,0,55,0,3.95,23.48,,0,ro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1813,39.8,Romania,-7.2,0,Claudiu Ciprian TĂNĂSESCU,male,0,8.5,0
0,clegrip,1960-11-14 00:00:00,0,107,0,5.09,21.89,2010-05-21,0,fr,Group of the European People's Party (Christian Democrats),1602,40.9,France,9.08,0,Constance LE GRIP,female,0,7.5,0
1,ConstanzeKrehl,1956-10-14 00:00:00,6,122,90,5.5,10.23,2014-03-05,4,de,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,7287,46.1,Germany,-4.89,119,Constanze KREHL,female,0,8.5,21
1,CVNieuwenhuizen,1963-06-12 00:00:00,54,131,113,5.79,6.46,2009-11-23,52,nl,Group of the Alliance of Liberals and Democrats for Europe,0,42.1,Netherlands,0.46,289,Cora van NIEUWENHUIZEN,female,1,11.5,84
1,CorinaCretu_PSD,1967-06-24 00:00:00,1,55,4,3.95,23.48,2013-07-11,0,ro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2738,39.8,Romania,-7.2,27,Corina CREŢU,female,0,8.5,106
